Date of Arrest (DoA),Year/Month,Charge 1,Charge 2,Charge 3,SEX,RACE,Age (on DoA),Primary Charge,Code,Age Group,Eth/Race
09/26/2015,2015-September,647(f) PC,,,M,Black,29,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,African-Amer
09/26/2015,2015-September,187(A) PC,,,M,Hispanic,25,Murder,Penal Code - Against person,18-25,Hispanic
09/26/2015,2015-September,11364.1(a) HS,,,M,Hispanic,37,Drug paraphernalia,Health & Safety,36-45,Hispanic
09/28/2015,2015-September,187(A) PC,,,M,Hispanic,24,Murder,Penal Code - Against person,18-25,Hispanic
10/01/2015,2015-October,11550(A) HS,25400(a)(2) PC,25850(a) PC,M,Black,28,Under the Influence - Narcotics,Health & Safety,26-35,African-Amer
10/01/2015,2015-October,23152(a) VC,23152(b) VC,,M,Black,35,Drug or EtOH vehicle violtion,Vehicle Code,26-35,African-Amer
10/01/2015,2015-October,11364.1(a) HS,,,F,White,26,Drug paraphernalia,Health & Safety,26-35,White
10/02/2015,2015-October,23152(a) VC,,,M,Hispanic,22,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
10/03/2015,2015-October,23152(a) VC,23152(b) VC,31 VC,M,Chinese,23,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Asian
10/03/2015,2015-October,647(f) PC,,,M,Hispanic,48,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,Hispanic
10/04/2015,2015-October,23152(a) VC,23152(b) VC,,M,Korean,30,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Asian
10/04/2015,2015-October,23152(a) VC,23152(b) VC,,M,Hispanic,21,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
10/05/2015,2015-October,166(C)(1) PC,4573 PC,,M,White,19,Violation of a Protective Order,Penal Code - Public Justice,18-25,White
10/05/2015,2015-October,646.9(A) PC,,,M,White,30,Harrassment ,Penal Code - Mal Misch & Disord Cond,26-35,White
10/06/2015,2015-October,166(C)(1) PC,,,F,Other,41,Violation of a Protective Order,Penal Code - Public Justice,36-45,Other
10/06/2015,2015-October,11350(A) HS,11550(A) HS,,M,White,23,Possession - controlled subst,Health & Safety,18-25,White
10/06/2015,2015-October,23152(a) VC,23152(b) VC,,F,White,53,Drug or EtOH vehicle violtion,Vehicle Code,46-55,White
10/08/2015,2015-October,273.5(A) PC,591.5 PC,,F,White,32,Corporal Injury spouse/partner,Penal Code - Against person,26-35,White
10/08/2015,2015-October,11378 HS,11359 HS,12022.1(b) PC,M,White,59,Possession for sale - contr subst,Health & Safety,56-65,White
10/09/2015,2015-October,647(f) PC,,,M,Black,29,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,African-Amer
10/09/2015,2015-October,597(A) PC,,,M,White,22,Vandalism,Penal Code - Mal Misch & Disord Cond,18-25,White
10/09/2015,2015-October,11377(A) HS,,,M,White,29,Possession - controlled subst,Health & Safety,26-35,White
10/09/2015,2015-October,23152(a) VC,23152(b) VC,,M,White,44,Drug or EtOH vehicle violtion,Vehicle Code,36-45,White
10/10/2015,2015-October,11364.1(a) HS,,,M,Hispanic,27,Drug paraphernalia,Health & Safety,26-35,Hispanic
10/10/2015,2015-October,488 PC,647(h) PC,69 PC,M,Hispanic,27,Petty Theft,Penal Code - Larceny,26-35,Hispanic
10/10/2015,2015-October,23152(a) VC,23152(b) VC,,M,White,43,Drug or EtOH vehicle violtion,Vehicle Code,36-45,White
10/14/2015,2015-October,459 PC,,,M,White,23,Burglary,Penal Code - Property Crimes,18-25,White
10/15/2015,2015-October,647(f) PC,,,M,Black,29,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,African-Amer
10/15/2015,2015-October,243(e)(1) PC,602.5(B) PC,,M,White,24,Battery on a spouse/partner,Penal Code - Against person,18-25,White
10/16/2015,2015-October,273.5(A) PC,13700 PC,,M,Black,55,Corporal Injury spouse/partner,Penal Code - Against person,46-55,African-Amer
10/16/2015,2015-October,23152(e) VC,,,M,Other Asian,21,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Asian
10/17/2015,2015-October,647(f) PC,,,M,White,54,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,White
10/18/2015,2015-October,23152(a) VC,23152(b) VC,,M,Other,25,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Other
10/18/2015,2015-October,23152(a) VC,23152(b) VC,,F,White,25,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
10/18/2015,2015-October,23152(a) VC,23152(b) VC,,M,White,27,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
10/20/2015,2015-October,459.5 PC,647(f) PC,,M,White,54,Burglary,Penal Code - Property Crimes,46-55,White
10/21/2015,2015-October,11364(a) HS,,,M,Hispanic,22,Drug paraphernalia,Health & Safety,18-25,Hispanic
10/22/2015,2015-October,647(f) PC,,,F,Hispanic,28,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,Hispanic
10/22/2015,2015-October,496(A) PC,369I(A) PC,,M,White,47,Receives Stolen Property,Penal Code - Larceny,46-55,White
10/23/2015,2015-October,647(f) PC,,,M,Black,29,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,African-Amer
10/23/2015,2015-October,23152(a) VC,23152(b) VC,14601.2(A) VC,M,Hispanic,27,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Hispanic
10/23/2015,2015-October,11550(A) HS,,,M,White,39,Under the Influence - Narcotics,Health & Safety,36-45,White
10/24/2015,2015-October,23152(a) VC,,,F,Black,23,Drug or EtOH vehicle violtion,Vehicle Code,18-25,African-Amer
10/24/2015,2015-October,23152(a) VC,23152(b) VC,,F,Hispanic,20,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
10/24/2015,2015-October,23152(a) VC,23152(b) VC,,M,Hispanic,25,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
10/24/2015,2015-October,23152(a) VC,23152(b) VC,,M,White,32,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
10/25/2015,2015-October,23152(a) VC,23152(b) VC,,M,Hispanic,30,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Hispanic
10/26/2015,2015-October,148(a)(1) PC,602(M) PC,,M,Hispanic,35,Resist Arrest,Penal Code - Public Justice,26-35,Hispanic
10/28/2015,2015-October,10851(A) VC,,,M,Black,21,car theft or tampering,Vehicle Code,18-25,African-Amer
10/28/2015,2015-October,245(A)(1) PC,148(a)(1) PC,,F,White,27,Assault with a deadly weapon,Penal Code - Against person,26-35,White
10/30/2015,2015-October,647(f) PC,,,M,Hispanic,24,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,18-25,Hispanic
10/30/2015,2015-October,23152(a) VC,23152(b) VC,,M,Hispanic,40,Drug or EtOH vehicle violtion,Vehicle Code,36-45,Hispanic
10/30/2015,2015-October,23152(a) VC,23152(b) VC,,M,Other,31,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Other
10/31/2015,2015-October,4573(a) PC,647(f) PC,,F,Hispanic,34,Drugs into jail/prison,Penal Code,26-35,Hispanic
10/31/2015,2015-October,11364.1(a) HS,,,M,White,25,Drug paraphernalia,Health & Safety,18-25,White
10/31/2015,2015-October,11364.1(a) HS,11377(A) HS,,M,White,56,Drug paraphernalia,Health & Safety,56-65,White
11/02/2015,2015-November,647(f) PC,,,M,Black,63,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,56-65,African-Amer
11/02/2015,2015-November,23152(a) VC,23152(b) VC,12500(A) VC,M,White,44,Drug or EtOH vehicle violtion,Vehicle Code,36-45,White
11/04/2015,2015-November,503 PC,182(A)(1) PC,,F,Asian Indian,21,Embezzlement,Penal Code - Property Crimes,18-25,Asian
11/04/2015,2015-November,11364.1(a) HS,11350(A) HS,21810 PC,M,Other Asian,29,Drug paraphernalia,Health & Safety,26-35,Asian
11/04/2015,2015-November,529(a)(3) PC,11350(A) HS,4140 BP,M,White,25,Impersonation,Penal Code - Property Crimes,18-25,White
11/04/2015,2015-November,11364.1(a) HS,,,M,White,31,Drug paraphernalia,Health & Safety,26-35,White
11/04/2015,2015-November,487(A) PC,182(A)(1) PC,11364.1(a) HS,M,White,31,Grand Theft,Penal Code - Larceny,26-35,White
11/05/2015,2015-November,2800.2 VC,245(A)(1) PC,417(A)(1) PC,F,White,24,Fleeing from PO,Vehicle Code,18-25,White
11/06/2015,2015-November,242 PC,,,M,Other Asian,23,Battery,Penal Code - Against person,18-25,Asian
11/06/2015,2015-November,23152(a) VC,23152(b) VC,,M,Hispanic,30,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Hispanic
11/06/2015,2015-November,23152(a) VC,23152(b) VC,,M,Hispanic,31,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Hispanic
11/06/2015,2015-November,647(f) PC,148(a)(1) PC,,M,Hispanic,35,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,Hispanic
11/06/2015,2015-November,243(b) PC,647(f) PC,,M,White,32,Battery on a PO,Penal Code - Against person,26-35,White
11/07/2015,2015-November,23152(a) VC,23152(b) VC,,M,Other Asian,19,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Asian
11/07/2015,2015-November,23152(a) VC,23152(b) VC,,M,White,24,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
11/07/2015,2015-November,11377(A) HS,11364.1(a) HS,,M,White,38,Possession - controlled subst,Health & Safety,36-45,White
11/07/2015,2015-November,23152(a) VC,23152(b) VC,,M,White,58,Drug or EtOH vehicle violtion,Vehicle Code,56-65,White
11/10/2015,2015-November,647(f) PC,,,M,White,55,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,White
11/14/2015,2015-November,23152(a) VC,23152(b) VC,,M,Hispanic,43,Drug or EtOH vehicle violtion,Vehicle Code,36-45,Hispanic
11/14/2015,2015-November,148(a)(1) PC,602(L)(1) PC,,M,White,34,Resist Arrest,Penal Code - Public Justice,26-35,White
11/14/2015,2015-November,11377(A) HS,1203.2(a) PC,,M,White,60,Possession - controlled subst,Health & Safety,56-65,White
11/16/2015,2015-November,647(f) PC,,,M,White,27,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
11/18/2015,2015-November,647(h) PC,,,M,White,29,Disorderly Conduct - Loiter/Prowl,Penal Code - Mal Misch & Disord Cond,26-35,White
11/19/2015,2015-November,459 PC,459 PC,,M,White,28,Burglary,Penal Code - Property Crimes,26-35,White
11/20/2015,2015-November,23152(a) VC,23152(b) VC,,F,White,26,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
11/20/2015,2015-November,647(f) PC,,,M,White,55,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,White
11/21/2015,2015-November,23152(a) VC,23152(b) VC,,M,Other Asian,22,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Asian
11/21/2015,2015-November,2800.2 VC,,,M,Other,22,Fleeing from PO,Vehicle Code,18-25,Other
11/21/2015,2015-November,23152(a) VC,23152(b) VC,,F,White,22,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
11/22/2015,2015-November,23152(a) VC,23152(b) VC,,M,Hispanic,25,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
11/22/2015,2015-November,23152(a) VC,23152(b) VC,,M,Hispanic,30,Drug or EtOH vehicle violtion,Vehicle Code,26-35,Hispanic
11/25/2015,2015-November,11350(A) HS,11377(A) HS,,F,White,46,Possession - controlled subst,Health & Safety,46-55,White
11/26/2015,2015-November,11364.1(a) HS,,,M,Hispanic,28,Drug paraphernalia,Health & Safety,26-35,Hispanic
11/27/2015,2015-November,1203.2(a) PC,,,M,White,27,Parole Violation,Penal Code,26-35,White
11/28/2015,2015-November,459.5 PC,,,M,Hispanic,32,Burglary,Penal Code - Property Crimes,26-35,Hispanic
11/28/2015,2015-November,187(A) PC,,,M,White,20,Murder,Penal Code - Against person,18-25,White
11/29/2015,2015-November,23152(a) VC,23152(b) VC,23140(a) VC,M,Asian Indian,18,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Asian
11/29/2015,2015-November,182(A)(1) PC,487(A) PC,,F,Other,22,Conspiracy to commit a crime,Penal Code - Public Justice,18-25,Other
11/29/2015,2015-November,182(A)(1) PC,487(A) PC,,F,Other,26,Conspiracy to commit a crime,Penal Code - Public Justice,26-35,Other
11/29/2015,2015-November,23152(a) VC,23152(b) VC,,M,Other,41,Drug or EtOH vehicle violtion,Vehicle Code,36-45,Other
11/29/2015,2015-November,23152(e) VC,148.9(A) PC,14601.2(A) VC,M,White,34,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
11/29/2015,2015-November,459.5 PC,,,M,White,43,Burglary,Penal Code - Property Crimes,36-45,White
12/02/2015,2015-December,23222(B) VC,23223(b) VC,,F,Hispanic,22,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
12/02/2015,2015-December,11364.1(a) HS,11377(A) HS,,M,Hispanic,23,Drug paraphernalia,Health & Safety,18-25,Hispanic
12/03/2015,2015-December,11351 HS,11352(A) HS,,M,White,19,Possession for sale - contr subst,Health & Safety,18-25,White
12/03/2015,2015-December,29815(a) PC,29800(a)(1) PC,25400(a)(1) PC,M,White,20,Poss Firearm Parolee,Penal Code - Weapons,18-25,White
12/03/2015,2015-December,23152(a) VC,23152(b) VC,,M,White,27,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
12/04/2015,2015-December,148.9(A) PC,,,M,Hispanic,27,Misrepresents to a PO,Penal Code - Public Justice,26-35,Hispanic
12/04/2015,2015-December,243(b) PC,148(a)(1) PC,,M,White,44,Battery on a PO,Penal Code - Against person,36-45,White
12/04/2015,2015-December,11378 HS,11364.1(a) HS,,M,White,61,Possession for sale - contr subst,Health & Safety,56-65,White
12/05/2015,2015-December,11350(A) HS,,,M,White,37,Possession - controlled subst,Health & Safety,36-45,White
12/06/2015,2015-December,459 PC,182(A)(1) PC,,M,White,18,Burglary,Penal Code - Property Crimes,18-25,White
12/06/2015,2015-December,459 PC,182(A)(1) PC,,M,White,19,Burglary,Penal Code - Property Crimes,18-25,White
12/07/2015,2015-December,23152(a) VC,23152(b) VC,,M,Black,38,Drug or EtOH vehicle violtion,Vehicle Code,36-45,African-Amer
12/07/2015,2015-December,647(f) PC,,,M,White,26,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
12/08/2015,2015-December,23152(a) VC,23152(b) VC,,M,White,27,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
12/10/2015,2015-December,23152(e) VC,,,M,Black,39,Drug or EtOH vehicle violtion,Vehicle Code,36-45,African-Amer
12/10/2015,2015-December,11365 HS,,,M,Hispanic,27,Narcotics - maintaining a place or in a place,Health & Safety,26-35,Hispanic
12/10/2015,2015-December,11365 HS,,,M,White,29,Narcotics - maintaining a place or in a place,Health & Safety,26-35,White
12/10/2015,2015-December,11366 HS,30305(a)(1) PC,,M,White,31,Narcotics - maintaining a place or in a place,Health & Safety,26-35,White
12/10/2015,2015-December,11377(A) HS,,,M,White,51,Possession - controlled subst,Health & Safety,46-55,White
12/10/2015,2015-December,11366 HS,,,M,White,61,Narcotics - maintaining a place or in a place,Health & Safety,56-65,White
12/11/2015,2015-December,23152(a) VC,23152(b) VC,,F,White,58,Drug or EtOH vehicle violtion,Vehicle Code,56-65,White
12/12/2015,2015-December,11377(A) HS,11364.1(a) HS,182(A)(1) PC,F,Hispanic,33,Possession - controlled subst,Health & Safety,26-35,Hispanic
12/12/2015,2015-December,647(f) PC,,,M,White,29,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,26-35,White
12/12/2015,2015-December,211 PC,496(A) PC,182(A)(1) PC,M,White,34,Robbery,Penal Code - Against person,26-35,White
12/13/2015,2015-December,14601.2(A) VC,16028(a) VC,4000(a) VC,M,Black,42,license violation,Vehicle Code,36-45,African-Amer
12/13/2015,2015-December,23152(a) VC,23152(b) VC,,M,Hispanic,24,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
12/14/2015,2015-December,242 PC,1203.2(a) PC,,F,White,26,Battery,Penal Code - Against person,26-35,White
12/17/2015,2015-December,11357(A) HS,,,M,Hispanic,18,Possession - Cannabis,Health & Safety,18-25,Hispanic
12/17/2015,2015-December,11379(A) HS,182(A)(1) PC,,M,White,18,Attempted sale etc. - Controlled,Health & Safety,18-25,White
12/17/2015,2015-December,594(b)(1) PC,,,M,White,32,Vandalism,Penal Code - Mal Misch & Disord Cond,26-35,White
12/18/2015,2015-December,11350(A) HS,,,M,White,58,Possession - controlled subst,Health & Safety,56-65,White
12/19/2015,2015-December,23152(a) VC,23152(b) VC,,M,White,21,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
12/19/2015,2015-December,243(b) PC,148(a)(1) PC,,M,White,22,Battery on a PO,Penal Code - Against person,18-25,White
12/20/2015,2015-December,23152(a) VC,23152(b) VC,14601.2(A) VC,M,White,41,Drug or EtOH vehicle violtion,Vehicle Code,36-45,White
12/23/2015,2015-December,664/490.5(a) PC,,,M,Hispanic,24,Att Larceny,Penal Code - Property Crimes,18-25,Hispanic
12/23/2015,2015-December,11364(a) HS,,,F,White,33,Drug paraphernalia,Health & Safety,26-35,White
12/23/2015,2015-December,30305(a)(1) PC,22810 PC,,M,White,47,Poss Firearm by Prohibited Person,Penal Code - Weapons,46-55,White
12/24/2015,2015-December,11377(A) HS,,,M,Other,30,Possession - controlled subst,Health & Safety,26-35,Other
12/24/2015,2015-December,647(f) PC,,,M,White,44,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,36-45,White
12/25/2015,2015-December,11350(A) HS,11364.1(a) HS,,F,Black,26,Possession - controlled subst,Health & Safety,26-35,African-Amer
12/25/2015,2015-December,11377(A) HS,11350(A) HS,11364.1(a) HS,M,Black,30,Possession - controlled subst,Health & Safety,26-35,African-Amer
12/25/2015,2015-December,11364(a) HS,,,M,Hispanic,47,Drug paraphernalia,Health & Safety,46-55,Hispanic
12/29/2015,2015-December,182(A)(1) PC,211 PC,245(A)(1) PC,M,Hispanic,19,Conspiracy to commit a crime,Penal Code - Public Justice,18-25,Hispanic
12/29/2015,2015-December,182(A)(1) PC,11378 HS,12022(A)(1) PC,F,White,18,Conspiracy to commit a crime,Penal Code - Public Justice,18-25,White
12/30/2015,2015-December,475 PC,182(A)(1) PC,,M,Black,30,Forgery/Counterfeiting,Penal Code - Property Crimes,26-35,African-Amer
12/30/2015,2015-December,487(A) PC,1203.2(a) PC,,M,Indian/Nativ,38,Grand Theft,Penal Code - Larceny,36-45,Native Amer
12/30/2015,2015-December,23152(e) VC,,,M,Other,18,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Other
12/30/2015,2015-December,11378 HS,11379(A) HS,11364(a) HS,F,White,47,Possession for sale - contr subst,Health & Safety,46-55,White
12/31/2015,2015-December,459.5 PC,11364(a) HS,,M,Black,34,Burglary,Penal Code - Property Crimes,26-35,African-Amer
01/01/2016,2016-January,242 PC,,,M,White,34,Battery,Penal Code - Against person,26-35,White
01/03/2016,2016-January,23152(a) VC,23152(b) VC,,M,Black,26,Drug or EtOH vehicle violtion,Vehicle Code,26-35,African-Amer
01/06/2016,2016-January,11364(a) HS,11377(A) HS,273.5(A) PC,F,Black,46,Drug paraphernalia,Health & Safety,46-55,African-Amer
01/07/2016,2016-January,273.5(A) PC,166(A)(4) PC,236 PC,M,Black,55,Corporal Injury spouse/partner,Penal Code - Against person,46-55,African-Amer
01/07/2016,2016-January,23152(e) VC,,,M,Hispanic,22,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
01/07/2016,2016-January,23152(a) VC,23152(b) VC,,M,White,47,Drug or EtOH vehicle violtion,Vehicle Code,46-55,White
01/08/2016,2016-January,23152(a) VC,23152(b) VC,,M,Other Asian,21,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Asian
01/09/2016,2016-January,23152(a) VC,23152(b) VC,23140(a) VC,M,Hispanic,19,Drug or EtOH vehicle violtion,Vehicle Code,18-25,Hispanic
01/09/2016,2016-January,23152(a) VC,23152(b) VC,,F,Hispanic,44,Drug or EtOH vehicle violtion,Vehicle Code,36-45,Hispanic
01/10/2016,2016-January,647(h) PC,,,M,Black,22,Disorderly Conduct - Loiter/Prowl,Penal Code - Mal Misch & Disord Cond,18-25,African-Amer
01/10/2016,2016-January,23152(a) VC,,,M,Black,33,Drug or EtOH vehicle violtion,Vehicle Code,26-35,African-Amer
01/11/2016,2016-January,148.9(A) PC,,,M,Other,24,Misrepresents to a PO,Penal Code - Public Justice,18-25,Other
01/13/2016,2016-January,11350(A) HS,22610(a) PC,,M,White,24,Possession - controlled subst,Health & Safety,18-25,White
01/14/2016,2016-January,647(f) PC,,,M,White,54,Disorderly Conduct - Intoxicated,Penal Code - Mal Misch & Disord Cond,46-55,White
01/15/2016,2016-January,11350(A) HS,11364(a) HS,,F,Hispanic,30,Possession - controlled subst,Health & Safety,26-35,Hispanic
01/15/2016,2016-January,211 PC,,,M,White,45,Robbery,Penal Code - Against person,36-45,White
01/16/2016,2016-January,23152(a) VC,23152(b) VC,,M,White,22,Drug or EtOH vehicle violtion,Vehicle Code,18-25,White
01/16/2016,2016-January,23152(a) VC,23152(b) VC,,M,White,29,Drug or EtOH vehicle violtion,Vehicle Code,26-35,White
01/16/2016,2016-January,496(A) PC,,,M,White,36,Receives Stolen Property,Penal Code - Larceny,36-45,White
01/16/2016,2016-January,11377(A) HS,11364(a) HS,,M,White,50,Possession - controlled subst,Health & Safety,46-55,White
01/16/2016,2016-January,11350(A) HS,,,M,Unknown,31,Possession - controlled subst,Health & Safety,26-35,
